,metric,value,step,version_tag
0,Loss/Total Loss (Train),715.0236206054688,0.0,version_5
1,Loss/Total Loss (Train),315.3879699707031,1.0,version_5
2,Loss/Total Loss (Train),220.5662078857422,2.0,version_5
3,Loss/Total Loss (Train),176.98599243164062,3.0,version_5
4,Loss/Total Loss (Train),165.45277404785156,4.0,version_5
5,Loss/Total Loss (Train),158.8492431640625,5.0,version_5
6,Loss/Total Loss (Train),154.80075073242188,6.0,version_5
7,Loss/Total Loss (Train),151.89573669433594,7.0,version_5
8,Loss/Total Loss (Train),149.56153869628906,8.0,version_5
9,Loss/Total Loss (Train),147.3027801513672,9.0,version_5
10,Loss/Total Loss (Train),146.1146240234375,10.0,version_5
11,Loss/Total Loss (Train),144.97689819335938,11.0,version_5
12,Loss/Total Loss (Train),143.961669921875,12.0,version_5
13,Loss/Total Loss (Train),143.0599365234375,13.0,version_5
14,Loss/Total Loss (Train),142.57632446289062,14.0,version_5
15,Loss/Total Loss (Train),142.25967407226562,15.0,version_5
16,Loss/Total Loss (Train),141.8324432373047,16.0,version_5
17,Loss/Total Loss (Train),141.60214233398438,17.0,version_5
18,Loss/Total Loss (Train),140.859130859375,18.0,version_5
19,Loss/Total Loss (Train),140.4824676513672,19.0,version_5
20,Loss/Total Loss (Train),140.44833374023438,20.0,version_5
21,Loss/Total Loss (Train),139.73440551757812,21.0,version_5
22,Loss/Total Loss (Train),139.39378356933594,22.0,version_5
23,Loss/Total Loss (Train),139.6538543701172,23.0,version_5
24,Loss/Total Loss (Train),139.2220001220703,24.0,version_5
25,Loss/Total Loss (Train),138.89259338378906,25.0,version_5
26,Loss/Total Loss (Train),138.71006774902344,26.0,version_5
27,Loss/Total Loss (Train),138.56085205078125,27.0,version_5
28,Loss/Total Loss (Train),138.59417724609375,28.0,version_5
29,Loss/Total Loss (Train),138.25343322753906,29.0,version_5
30,Loss/Total Loss (Train),138.17376708984375,30.0,version_5
31,Loss/Total Loss (Train),137.94818115234375,31.0,version_5
32,Loss/Total Loss (Train),137.7205810546875,32.0,version_5
33,Loss/Total Loss (Train),137.2538299560547,33.0,version_5
34,Loss/Total Loss (Train),137.3343963623047,34.0,version_5
35,Loss/Total Loss (Train),136.97845458984375,35.0,version_5
36,Loss/Total Loss (Train),137.32879638671875,36.0,version_5
37,Loss/Total Loss (Train),136.85397338867188,37.0,version_5
38,Loss/Total Loss (Train),136.6129608154297,38.0,version_5
39,Loss/Total Loss (Train),136.739013671875,39.0,version_5
40,Loss/Total Loss (Train),136.4938507080078,40.0,version_5
41,Loss/Total Loss (Train),136.3362579345703,41.0,version_5
42,Loss/Total Loss (Train),136.16073608398438,42.0,version_5
43,Loss/Total Loss (Train),136.02349853515625,43.0,version_5
44,Loss/Total Loss (Train),135.93527221679688,44.0,version_5
45,Loss/Total Loss (Train),135.63201904296875,45.0,version_5
46,Loss/Total Loss (Train),135.53167724609375,46.0,version_5
47,Loss/Total Loss (Train),135.5445098876953,47.0,version_5
48,Loss/Total Loss (Train),135.50222778320312,48.0,version_5
49,Loss/Total Loss (Train),135.0464630126953,49.0,version_5
50,Loss/Total Loss (Train),135.2036590576172,50.0,version_5
51,Loss/Total Loss (Train),135.0048065185547,51.0,version_5
52,Loss/Total Loss (Train),134.73721313476562,52.0,version_5
53,Loss/Total Loss (Train),134.6264190673828,53.0,version_5
54,Loss/Total Loss (Train),134.39364624023438,54.0,version_5
55,Loss/Total Loss (Train),134.5419158935547,55.0,version_5
56,Loss/Total Loss (Train),134.44642639160156,56.0,version_5
57,Loss/Total Loss (Train),134.17922973632812,57.0,version_5
58,Loss/Total Loss (Train),134.12606811523438,58.0,version_5
59,Loss/Total Loss (Train),133.9980010986328,59.0,version_5
60,Loss/Total Loss (Train),133.76345825195312,60.0,version_5
61,Loss/Total Loss (Train),133.8253631591797,61.0,version_5
62,Loss/Total Loss (Train),133.6754608154297,62.0,version_5
63,Loss/Total Loss (Train),133.72909545898438,63.0,version_5
64,Loss/Total Loss (Train),133.48724365234375,64.0,version_5
65,Loss/Total Loss (Train),133.2188720703125,65.0,version_5
66,Loss/Total Loss (Train),132.94467163085938,66.0,version_5
67,Loss/Total Loss (Train),133.23199462890625,67.0,version_5
68,Loss/Total Loss (Train),132.81192016601562,68.0,version_5
69,Loss/Total Loss (Train),132.68309020996094,69.0,version_5
70,Loss/Total Loss (Train),132.39366149902344,70.0,version_5
71,Loss/Total Loss (Train),132.42771911621094,71.0,version_5
72,Loss/Total Loss (Train),132.2841033935547,72.0,version_5
73,Loss/Total Loss (Train),132.0839385986328,73.0,version_5
74,Loss/Total Loss (Train),132.2481231689453,74.0,version_5
75,Loss/Total Loss (Train),131.90476989746094,75.0,version_5
76,Loss/Total Loss (Train),131.92733764648438,76.0,version_5
77,Loss/Total Loss (Train),131.66102600097656,77.0,version_5
78,Loss/Total Loss (Train),131.37460327148438,78.0,version_5
79,Loss/Total Loss (Train),131.08924865722656,79.0,version_5
80,Loss/Total Loss (Train),131.17898559570312,80.0,version_5
81,Loss/Total Loss (Train),131.17030334472656,81.0,version_5
82,Loss/Total Loss (Train),131.14866638183594,82.0,version_5
83,Loss/Total Loss (Train),130.8833770751953,83.0,version_5
84,Loss/Total Loss (Train),130.94781494140625,84.0,version_5
85,Loss/Total Loss (Train),130.446044921875,85.0,version_5
86,Loss/Total Loss (Train),130.64825439453125,86.0,version_5
87,Loss/Total Loss (Train),130.26846313476562,87.0,version_5
88,Loss/Total Loss (Train),130.21484375,88.0,version_5
89,Loss/Total Loss (Train),130.05722045898438,89.0,version_5
90,Loss/Total Loss (Train),129.9208526611328,90.0,version_5
91,Loss/Total Loss (Train),129.79412841796875,91.0,version_5
92,Loss/Total Loss (Train),129.8806610107422,92.0,version_5
93,Loss/Total Loss (Train),129.62789916992188,93.0,version_5
94,Loss/Total Loss (Train),129.52096557617188,94.0,version_5
95,Loss/Total Loss (Train),129.47598266601562,95.0,version_5
96,Loss/Total Loss (Train),129.25189208984375,96.0,version_5
97,Loss/Total Loss (Train),129.14013671875,97.0,version_5
98,Loss/Total Loss (Train),129.0098876953125,98.0,version_5
99,Loss/Total Loss (Train),128.44528198242188,99.0,version_5
100,Loss/Total Loss (Train),128.69203186035156,100.0,version_5
101,Loss/Total Loss (Train),128.50503540039062,101.0,version_5
102,Loss/Total Loss (Train),128.4678497314453,102.0,version_5
103,Loss/Total Loss (Train),128.35675048828125,103.0,version_5
104,Loss/Total Loss (Train),128.1763916015625,104.0,version_5
105,Loss/Total Loss (Train),128.21420288085938,105.0,version_5
106,Loss/Total Loss (Train),128.0686798095703,106.0,version_5
107,Loss/Total Loss (Train),127.94479370117188,107.0,version_5
108,Loss/Total Loss (Train),127.71268463134766,108.0,version_5
109,Loss/Total Loss (Train),127.8080062866211,109.0,version_5
110,Loss/Total Loss (Train),127.62973022460938,110.0,version_5
111,Loss/Total Loss (Train),127.39300537109375,111.0,version_5
112,Loss/Total Loss (Train),127.3180923461914,112.0,version_5
113,Loss/Total Loss (Train),127.15380096435547,113.0,version_5
114,Loss/Total Loss (Train),127.07747650146484,114.0,version_5
115,Loss/Total Loss (Train),126.86371612548828,115.0,version_5
116,Loss/Total Loss (Train),126.67326354980469,116.0,version_5
117,Loss/Total Loss (Train),126.41375732421875,117.0,version_5
118,Loss/Total Loss (Train),126.41380310058594,118.0,version_5
119,Loss/Total Loss (Train),126.37971496582031,119.0,version_5
120,Loss/Total Loss (Train),126.01557922363281,120.0,version_5
121,Loss/Total Loss (Train),125.94161224365234,121.0,version_5
